bn:00113968a	yellow|黄
bn:00106408a	many|多
bn:00105617a	amiable|友善 benevolent|仁
bn:00104332a	FormValue|形状值
bn:00105859a	forming|形成 law|律法 politics|政
bn:00106672a	method|方法
bn:00106505a	ripe|成熟
bn:00098003a	round|圆 shape|物形
bn:00111810a	doctor|医治 medical|医
bn:00104083a	rash|莽 careless|粗心
bn:00106854a	StateChange|态变 OutOfOrder|坏掉
bn:00100136a	PerformanceValue|性能值 HaveContest|较量
bn:00108026a	AgeValue|年龄值 GreaterThanNormal|高于正常 unfashionable|背令
bn:00109378a	tribe|族群
bn:00099225a	important|重要
bn:00112911a	extensive|泛 wholly|全面
bn:00103765a	grey|灰 white|白 aged|老年 human|人
bn:00108552a	beautiful|美 TakePicture|拍摄
bn:00103549a	knowledge|知识 politics|政
bn:00097284a	eager|急切 worried|着急 uneasy|不安
bn:00107913a	military|军
bn:00112939a	impossible|不会
bn:00100900a	colored|彩
bn:00104568a	extensive|泛 wide|阔 broad|广
bn:00099475a	accurate|精确 believe|相信 lucid|清晰 positive|正面 certain|某 specific|特定
bn:00096394a	active|积极 PropertyValue|特性值
bn:00110106a	mock|嘲讽
bn:00098211a	late|迟 StageLate|晚期
bn:00100971a	poisonous|有毒
bn:00111668a	TasteLight|味淡 tasteless|无味
bn:00100551a	able|能 count|计数
bn:00103685a	GoodTaste|好吃
bn:00111059a	rarely|偶尔
bn:00102626a	foreign|外国 location|位置 place|地方 country|国家 external|外 international|国际
bn:00103096a	flesh|肉
bn:00104514a	thinking|思想
bn:00113486a	effective|有效
bn:00100275a	GetMarried|结婚
bn:00104696a	withstand|抗住 durable|牢
bn:00102718a	timid|怯
bn:00101406a	politics|政 diplomatic|外交
bn:00106751a	PropertyValue|特性值 NaturalThing|天然物
bn:00096485a	AgeValue|年龄值 young|青年
bn:00108443a	BestQuality|最佳 fantastic|非常好
bn:00110858a	gentle|柔 soft|软
bn:00103178a	brave|勇 rash|莽 careless|粗心
bn:00108566a	AttachmentValue|归属值 physical|物质 Physique|体格
bn:00102039a	effective|有效
bn:00098036a	religion|宗教
bn:00108488a	private|私 Property|特性 human|人 self|己
bn:00111761a	place|地方 control|控制 country|国家 politics|政
bn:00097826a	PropertyValue|特性值 automatic|自动
bn:00100673a	important|重要 serious|严重 urgent|急 dangerous|危
bn:00103233a	AgeValue|年龄值 late|迟 past|过去 StageLate|晚期
bn:00110270a	safe|安 steady|稳固
bn:00096862a	bewitching|妖媚 attractive|诱人
bn:00098827a	brave|勇
